protein_id_3610	PS	assembly_3610	seq_type_3610	chromosome_3610	genomic_accession_3610	start_3610	end_3610	strand_3610	name_3610	symbol_3610	locus_tag_3610	feature_interval_length_3610	product_length_3610	protein_id_168	assembly_168	seq_type_168	chromosome_168	genomic_accession_168	start_168	end_168	strand_168	name_168	symbol_168	locus_tag_168	feature_interval_length_168	product_length_168	symbol_168	category	syn_name	synonyms	operons
AQZ91064.1	2	GCA_002055965.1	chromosome		CP020102.1	2278140	2278379	+	hypothetical protein		B4U62_11745	240	79		GCA_000009045.1	chromosome	NA	AL009126.3	2278108	2278347	+	"fragment of putative transposase; phage SPbeta"	yoyK	BSU_21598	240	NA	yoyK/1	Prophages and mobile genetic elements#Prophages#SP-beta prophage;Groups of genes#Pseudogenes	yoyK/1	yoyK/1	NA
AQZ91446.1	1	GCA_002055965.1	chromosome		CP020102.1	2639898	2640467	-	ComE operon protein 2	comEB	B4U62_13810	570	189	CAB14500.1	GCA_000009045.1	chromosome	NA	AL009126.3	2639877	2640446	-	dCMP deaminase associated to DNA transport (competence)	comEB	BSU_25580	570	189	comEB	Information processing#Genetics#Genetic competence;Lifestyles#Exponential and early post-exponential lifestyles#Genetic competence	comEB	comEB;comD	comEA→comEC
AQZ89752.1	1	GCA_002055965.1	chromosome		CP020102.1	926924	928117	+	MFS transporter	yfhI	B4U62_04755	1194	397	CAB12683.1	GCA_000009045.1	chromosome	NA	AL009126.3	926886	928079	+	putative efflux transporter	yfhI	BSU_08540	1194	397	yfhI	Cellular processes#Transporters#Transporters/ other#Other transporters;Lifestyles#Coping with stress#Resistance against toxins/ antibiotics/ based on similarity;Groups of genes#Membrane proteins	yfhI	yfhI	yfhI
AQZ89630.1	2	GCA_002055965.1	chromosome		CP020102.1	800271	801182	+	hypothetical protein	yfnF	B4U62_04135	912	303	CAB12548.1	GCA_000009045.1	chromosome	NA	AL009126.3	800232	801143	+	putative glycosyltransferase	yfnF	BSU_07290	912	303	yfnF	Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other	yfnF	yfnF	yfnH→yfnD
AQZ91887.1	1	GCA_002055965.1	chromosome		CP020102.1	3066467	3067402	+	cysteine synthase	ytkP	B4U62_16130	936	311	CAB14975.1	GCA_000009045.1	chromosome	NA	AL009126.3	3066451	3067386	+	putative cysteine synthase-like enzyme	ytkP	BSU_29970	936	311	ytkP	Groups of genes#Poorly characterized/ putative enzymes	ytkP	ytkP	ytkP
AQZ93114.1	4	GCA_002055965.1	chromosome		CP020102.1	3182031	3182555	-	hypothetical protein	yuaF	B4U62_16775	525	174	CAB15080.1	GCA_000009045.1	chromosome	NA	AL009126.3	3182015	3182539	-	putative membrane integrity integral membrane protein	nfeDB	BSU_31020	525	174	yuaF	Cellular processes#Cell envelope and cell division#Membrane dynamics;Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y);Groups of genes#Membrane proteins	yuaF	yuaF;NfeD2	yuaF→yuaI
AQZ91555.1	8	GCA_002055965.1	chromosome		CP020102.1	2720546	2720689	-	YrzO family protein	yrzO	B4U62_14370	144	47	CAX52668.1	GCA_000009045.1	chromosome	NA	AL009126.3	2720526	2720669	-	conserved protein of unknown function	yrzO	BSU_26619	144	47	yrzO	Groups of genes#Proteins of unknown function	yrzO	yrzO	yrdR→yrzO
AQZ92842.1	1	GCA_002055965.1	chromosome		CP020102.1	4072322	4073011	-	DNA-binding response regulator	yxdJ	B4U62_21310	690	229	CAB16002.1	GCA_000009045.1	chromosome	NA	AL009126.3	4072284	4072973	-	two-component response regulator [TpeK(YxdK)]	tpeJ	BSU_39660	690	229	yxdJ	Information processing#Regulation of gene expression#Transcription factors and their control#Two-component system response regulators;Lifestyles#Coping with stress#Resistance against toxins/ antibiotics;Groups of genes#Phosphoproteins#Phosphorylation on an Asp residue	yxdJ	yxdJ	yxdJ→yxdK
AQZ90117.1	1	GCA_002055965.1	chromosome		CP020102.1	1295028	1295780	-	iron export ABC transporter permease subunit FetB	yjkA	B4U62_06785	753	250	CAB13081.1	GCA_000009045.1	chromosome	NA	AL009126.3	1294996	1295748	-	putative ABC transporter (permease)	yjkA	BSU_12240	753	250	yjkA	Cellular processes#Transporters#ABC transporters#Unknown ABC transporters;Groups of genes#Membrane proteins	yjkA	yjkA	yjkB→yjkA
AQZ90796.1	2	GCA_002055965.1	chromosome		CP020102.1	2076238	2078658	+	peptidase G2	yobO	B4U62_10375	2421	806	CAB13795.1	GCA_000009045.1	chromosome	NA	AL009126.3	2076206	2078626	+	"putative phage-related pre-neck appendage protein; defective prophage 6"	yobO	BSU_19030	2421	806	yobO	Groups of genes#Proteins of unknown function	yobO	yobO	yobN→yobO, yobO
AQZ89606.1	1	GCA_002055965.1	chromosome		CP020102.1	768177	768875	+	rhamnogalacturonan acetylesterase RhgT	rhgT	B4U62_04000	699	232	CAB12521.1	GCA_000009045.1	chromosome	NA	AL009126.3	768137	768835	+	rhamnogalacturonan acetylesterase	rhgT	BSU_07020	699	232	yesT	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of pectin	yesT	yesT	rhgR→yesZ
AQZ91235.1	1	GCA_002055965.1	chromosome		CP020102.1	2436069	2436941	+	hypothetical protein	ypuA	B4U62_12670	873	290	CAB14269.1	GCA_000009045.1	chromosome	NA	AL009126.3	2436045	2436917	+	putative exported protein	ypuA	BSU_23370	873	290	ypuA	Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	ypuA	ypuA	ypuA
AQZ90223.1	7	GCA_002055965.1	chromosome		CP020102.1	1395403	1395540	+	hypothetical protein	ykzD	B4U62_07345	138	45	CAB13186.1	GCA_000009045.1	chromosome	NA	AL009126.3	1395371	1395508	+	conserved hypothetical protein	ykzD	BSU_13290	138	45	ykzD	Lifestyles#Sporulation#Sporulation proteins#Newly identified sporulation proteins (based on transcription profiling)	ykzD	ykzD	ykzD
AQZ90425.1	4	GCA_002055965.1	chromosome		CP020102.1	1608950	1609195	+	YlmC/YmxH family sporulation protein	ylmC	B4U62_08435	246	81	CAB13410.1	GCA_000009045.1	chromosome	NA	AL009126.3	1608919	1609164	+	essential sporulation protein	ylmC	BSU_15360	246	81	ylmC	Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other	ylmC	ylmC;thiQ	ylmC
AQZ89859.1	1	GCA_002055965.1	chromosome		CP020102.1	1038947	1040062	+	mechanosensitive ion channel protein	yhdY	B4U62_05410	1116	371	CAB12803.1	GCA_000009045.1	chromosome	NA	AL009126.3	1038909	1040024	+	small conductance mechano-sensitive channel	mscY	BSU_09640	1116	371	yhdY	Lifestyles#Coping with stress#Coping with hypo-osmotic stress;Groups of genes#Membrane proteins	yhdY	yhdY	yhdY
AQZ92943.1	4	GCA_002055965.1	chromosome		CP020102.1	4173704	4174459	+	ABC transporter permease	yybM	B4U62_21855	756	251	CAB16096.1	GCA_000009045.1	chromosome	NA	AL009126.3	4173665	4174420	+	putative transporter permease subunit	yybM	BSU_40590	756	251	yybM	Groups of genes#Proteins of unknown function	yybM	yybM	yybN→yybJ
AQZ92363.1	1	GCA_002055965.1	chromosome		CP020102.1	3582949	3583578	-	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase	hisI	B4U62_18795	630	209	CAB15491.1	GCA_000009045.1	chromosome	NA	AL009126.3	3582936	3583565	-	"bifunctional phosphoribosyl-AMP cyclohydrolase; phosphoribosyl-ATP pyrophosphohydrolase"	hisIE	BSU_34860	630	209	hisI	Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids#Biosynthesis/ acquisition of histidine	hisI	hisI;hisIE	hisZ→hisI
AQZ92921.1	1	GCA_002055965.1	chromosome		CP020102.1	4151891	4153726	-	cell wall metabolism sensor histidine kinase WalK	walK	B4U62_21715	1836	611	CAB16077.1	GCA_000009045.1	chromosome	NA	AL009126.3	4151853	4153688	-	two-component sensor histidine kinase [YycG]	walK	BSU_40400	1836	611	walK	Cellular processes#Cell envelope and cell division#Cell wall/ other;Information processing#Protein synthesis, modification and degradation#Protein modification#Protein kinases;Information processing#Regulation of gene expression#Transcription factors and their control#Control of two-component response regulators#Two-component sensor kinase;Groups of genes#Essential genes;Groups of genes#Membrane proteins;Groups of genes#Phosphoproteins#Phosphorylation on a His residue	walK	walK;yycG	walR→htrC
AQZ93046.1	2	GCA_002055965.1	chromosome		CP020102.1	1467836	1469893	+	penicillin-binding protein	pbpH	B4U62_07720	2058	685	CAB13271.2	GCA_000009045.1	chromosome	NA	AL009126.3	1467748	1469862	+	penicillin-binding enzyme for formation of rod-shaped peptidoglycan cell wall	pbpH	BSU_13980	2115	704	pbpH	Cellular processes#Cell envelope and cell division#Cell wall synthesis#Penicillin-binding proteins;Groups of genes#Membrane proteins	pbpH	pbpH;ykuA	pbpH
AQZ92947.1	2	GCA_002055965.1	chromosome		CP020102.1	4176939	4177727	-	hypothetical protein	yybI	B4U62_21875	789	262	CAB16100.1	GCA_000009045.1	chromosome	NA	AL009126.3	4176900	4177688	-	inner spore coat protein	ictI	BSU_40630	789	262	yybI	Lifestyles#Sporulation#Sporulation proteins#Spore coat proteins#Class IV	yybI	yybI	yybI, yybH→yybI
AQZ91497.1	2	GCA_002055965.1	chromosome		CP020102.1	2679163	2679606	-	phage portal protein	yqbM	B4U62_14065	444	147	CAB14547.2	GCA_000009045.1	chromosome	NA	AL009126.3	2679142	2679585	-	"putative tail tube protein; skin element"	yqbM	BSU_26060	444	147	yqbM	Prophages and mobile genetic elements#Prophages#Skin element	yqbM	yqbM	NA
AQZ92658.1	1	GCA_002055965.1	chromosome		CP020102.1	3883019	3883474	-	spore coat polysaccharide biosynthesis protein SpsL	spsL	B4U62_20355	456	151	CAE01469.1	GCA_000009045.1	chromosome	NA	AL009126.3	3882979	3883434	-	putative dTDP-4-deoxyrhamnose-3,5-epimerase (cell surface and spore coat)	spsL	BSU_37810	456	151	spsL	Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways#Biosynthesis of rhamnose (for the exosporium);Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other	spsL	spsL	spsA→spsL
AQZ90395.1	1	GCA_002055965.1	chromosome		CP020102.1	1572012	1572794	+	patatin family protein	ylbK	B4U62_08270	783	260	CAB13377.1	GCA_000009045.1	chromosome	NA	AL009126.3	1571981	1572763	+	putative hydrolase	ylbK	BSU_15040	783	260	ylbK	Groups of genes#Poorly characterized/ putative enzymes	ylbK	ylbK	ylbK→ddcP
AQZ91310.1	1	GCA_002055965.1	chromosome		CP020102.1	2511995	2512858	-	3-hydroxybutyryl-CoA dehydrogenase	mmgB	B4U62_13080	864	287	CAB14347.2	GCA_000009045.1	chromosome	NA	AL009126.3	2511973	2512836	-	3-hydroxybutyryl-CoA dehydrogenase	mmgB	BSU_24160	864	287	mmgB	Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids#Utilization of branched-chain amino acids;Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other	mmgB	mmgB;yqiM	mmgA→mmgF
AQZ89944.1	1	GCA_002055965.1	chromosome		CP020102.1	1122213	1122719	+	Signal peptidase I V	sipV	B4U62_05850	507	168	CAB12889.1	GCA_000009045.1	chromosome	NA	AL009126.3	1122175	1122681	+	type I signal peptidase	sipV	BSU_10490	507	168	sipV	Information processing#Protein synthesis, modification and degradation#Protein secretion;Groups of genes#Membrane proteins	sipV	sipV;yhjF	yhjE→sipV
AQZ90892.1	1	GCA_002055965.1	chromosome		CP020102.1	2155325	2156152	-	hypothetical protein	yotB	B4U62_10875	828	275	CAB13885.1	GCA_000009045.1	chromosome	NA	AL009126.3	2155293	2156120	-	"putative metallo-dependent hydrolase; phage SPbeta"	yotB	BSU_19940	828	275	yotB	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yotB	yotB;yodZ	yosX→sprB
AQZ92138.1	1	GCA_002055965.1	chromosome		CP020102.1	3349776	3351044	-	sugar ABC transporter substrate-binding protein	frlO	B4U62_17595	1269	422	CAB15250.1	GCA_000009045.1	chromosome	NA	AL009126.3	3349761	3351029	-	fructose amino acid-binding lipoprotein	frlO	BSU_32600	1269	422	frlO	Cellular processes#Transporters#ABC transporters#Importers#Uptake of carbon sources;Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of amino sugars;Metabolism#Amino acid/ nitrogen metabolism#Utilization of nitrogen sources other than amino acids#Utilization of amino sugars;Groups of genes#Membrane proteins	frlO	frlO;yurO	frlB→yurJ
AQZ91438.1	1	GCA_002055965.1	chromosome		CP020102.1	2630931	2632769	-	elongation factor 4	lepA	B4U62_13770	1839	612	CAB14493.1	GCA_000009045.1	chromosome	NA	AL009126.3	2630910	2632748	-	ribosomal elongation factor, GTPase	lepA	BSU_25510	1839	612	lepA	Groups of genes#GTP-binding proteins	lepA	lepA;yqxB;yqeQ	lepA→hemN
AQZ91033.1	3	GCA_002055965.1	chromosome		CP020102.1	2246183	2246512	-	hypothetical protein	yozP	B4U62_11590	330	109	CAB14049.1	GCA_000009045.1	chromosome	NA	AL009126.3	2246151	2246480	-	"hypothetical protein; phage SPbeta"	yozP	BSU_21310	330	109	yozP	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yozP	yozP	NA
AQZ90926.1	1	GCA_002055965.1	chromosome		CP020102.1	2172964	2173482	-	5'-3'-deoxyribonucleotidase	yorS	B4U62_11050	519	172	CAB13919.1	GCA_000009045.1	chromosome	NA	AL009126.3	2172932	2173450	-	"putative 5'(3')-deoxyribonucleotidase; phage SPbeta"	yorS	BSU_20270	519	172	yorS	Information processing#Genetics#Genetics/ other/ based on similarity;Prophages and mobile genetic elements#Prophages#SP-beta prophage	yorS	yorS	NA
AQZ92338.1	1	GCA_002055965.1	chromosome		CP020102.1	3553220	3554527	-	maltodextrin ABC transporter permease	mdxF	B4U62_18660	1308	435	CAB15465.1	GCA_000009045.1	chromosome	NA	AL009126.3	3553206	3554513	-	maltodextrin ABC transport system (permease)	mdxF	BSU_34600	1308	435	mdxF	Cellular processes#Transporters#ABC transporters#Importers#Uptake of carbon sources;Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of starch/ maltodextrin;Groups of genes#Membrane proteins	mdxF	mdxF;yvdH	yvdE→pgcM
AQZ89967.1	4	GCA_002055965.1	chromosome		CP020102.1	1150244	1150465	-	germination protein GerPA	gerPA	B4U62_05965	222	73	CAB12912.1	GCA_000009045.1	chromosome	NA	AL009126.3	1150206	1150427	-	spore germination protein	gerPA	BSU_10720	222	73	gerPA	Lifestyles#Sporulation#Germination#Additional germination proteins	gerPA	gerPA;yisH	gerPA→gerPF
AQZ92919.1	1	GCA_002055965.1	chromosome		CP020102.1	4148889	4149683	-	MBL fold metallo-hydrolase	walJ	B4U62_21700	795	264	CAB16074.2	GCA_000009045.1	chromosome	NA	AL009126.3	4148851	4149645	-	putative hydrolase	walJ	BSU_40370	795	264	walJ	Cellular processes#Cell envelope and cell division#Cell wall synthesis#Biosynthesis of peptidoglycan;Cellular processes#Cell envelope and cell division#Cell division#Other genes;Metabolism#Additional metabolic pathways#Biosynthesis of cell wall components#Biosynthesis of peptidoglycan;Information processing#Genetics#DNA repair/ recombination#Mismatch repair (MMR)	walJ	walJ;yycJ	walR→htrC
AQZ89317.1	1	GCA_002055965.1	chromosome		CP020102.1	461656	462408	+	transcriptional regulator	kipR	B4U62_02360	753	250	CAB12217.2	GCA_000009045.1	chromosome	NA	AL009126.3	461615	462367	+	transcriptional regulator of the pxp operon (IclR family)	pxpR	BSU_04100	753	250	kipR	Information processing#Regulation of gene expression#Transcription factors and their control#Transcription factors/ other;Information processing#Regulation of gene expression#phosphorelay;Lifestyles#Sporulation#phosphorelay	kipR	kipR;ycsO	pxpA→lipC
AQZ88932.1	1	GCA_002055965.1	chromosome		CP020102.1	26852	28543	+	DNA polymerase III subunit gamma/tau	dnaX	B4U62_00130	1692	563	CAB11795.2	GCA_000009045.1	chromosome	NA	AL009126.3	26814	28505	+	DNA polymerase III subunit tau subunit	dnaX	BSU_00190	1692	563	dnaX	Information processing#Genetics#DNA replication;Groups of genes#Essential genes	dnaX	dnaX;dnaH;dna-8132	dnaX→bofA
AQZ92180.1	1	GCA_002055965.1	chromosome		CP020102.1	3383580	3384041	+	DNA starvation/stationary phase protection protein	mrgA	B4U62_17810	462	153	CAB15288.1	GCA_000009045.1	chromosome	NA	AL009126.3	3383565	3384026	+	metalloregulation DNA-binding stress protein	mrgA	BSU_32990	462	153	mrgA	Cellular processes#Homeostasis#Acquisition of iron#Acquisition of iron / Other;Metabolism#Additional metabolic pathways#Iron metabolism#Acquisition of iron / Other;Lifestyles#Coping with stress#Resistance against oxidative and electrophile stress	mrgA	mrgA	yusZ→mrgA, mrgA
